Numero_Secuencial,Mesa_ID,Ruta,Estado
327,8002281,ACTAS_1000\acta_0327.jpg,OK
328,8002291,ACTAS_1000\acta_0328.jpg,OK
329,8002301,ACTAS_1000\acta_0329.jpg,OK
331,8002321,ACTAS_1000\acta_0331.jpg,OK
330,8002311,ACTAS_1000\acta_0330.jpg,OK
332,8002331,ACTAS_1000\acta_0332.jpg,OK
333,8002341,ACTAS_1000\acta_0333.jpg,OK
334,8002351,ACTAS_1000\acta_0334.jpg,OK
335,8001481,ACTAS_1000\acta_0335.jpg,OK
336,8001491,ACTAS_1000\acta_0336.jpg,OK
338,8001511,ACTAS_1000\acta_0338.jpg,OK
340,8001531,ACTAS_1000\acta_0340.jpg,OK
339,8001521,ACTAS_1000\acta_0339.jpg,OK
337,8001501,ACTAS_1000\acta_0337.jpg,OK
341,8001541,ACTAS_1000\acta_0341.jpg,OK
342,8001551,ACTAS_1000\acta_0342.jpg,OK
343,8001561,ACTAS_1000\acta_0343.jpg,OK
344,8001571,ACTAS_1000\acta_0344.jpg,OK
345,8001581,ACTAS_1000\acta_0345.jpg,OK
347,8001601,ACTAS_1000\acta_0347.jpg,OK
346,8001591,ACTAS_1000\acta_0346.jpg,OK
348,8001611,ACTAS_1000\acta_0348.jpg,OK
349,8001621,ACTAS_1000\acta_0349.jpg,OK
350,8001631,ACTAS_1000\acta_0350.jpg,OK
351,8000431,ACTAS_1000\acta_0351.jpg,OK
352,8000441,ACTAS_1000\acta_0352.jpg,OK
353,8000451,ACTAS_1000\acta_0353.jpg,OK
354,8000461,ACTAS_1000\acta_0354.jpg,OK
355,8000471,ACTAS_1000\acta_0355.jpg,OK
356,8000481,ACTAS_1000\acta_0356.jpg,OK
357,8000491,ACTAS_1000\acta_0357.jpg,OK
358,8000501,ACTAS_1000\acta_0358.jpg,OK
360,8000521,ACTAS_1000\acta_0360.jpg,OK
359,8000511,ACTAS_1000\acta_0359.jpg,OK
361,8000531,ACTAS_1000\acta_0361.jpg,OK
363,8001651,ACTAS_1000\acta_0363.jpg,OK
364,8001661,ACTAS_1000\acta_0364.jpg,OK
362,8001641,ACTAS_1000\acta_0362.jpg,OK
365,8001671,ACTAS_1000\acta_0365.jpg,OK
366,8001681,ACTAS_1000\acta_0366.jpg,OK
367,8001691,ACTAS_1000\acta_0367.jpg,OK
372,8002551,ACTAS_1000\acta_0372.jpg,OK
369,8001711,ACTAS_1000\acta_0369.jpg,OK
373,8002561,ACTAS_1000\acta_0373.jpg,OK
368,8001701,ACTAS_1000\acta_0368.jpg,OK
370,8001721,ACTAS_1000\acta_0370.jpg,OK
374,8002571,ACTAS_1000\acta_0374.jpg,OK
371,8001731,ACTAS_1000\acta_0371.jpg,OK
375,8002581,ACTAS_1000\acta_0375.jpg,OK
376,8001801,ACTAS_1000\acta_0376.jpg,OK
377,8001811,ACTAS_1000\acta_0377.jpg,OK
378,8001821,ACTAS_1000\acta_0378.jpg,OK
379,8001831,ACTAS_1000\acta_0379.jpg,OK
380,8001841,ACTAS_1000\acta_0380.jpg,OK
381,8001851,ACTAS_1000\acta_0381.jpg,OK
382,8001861,ACTAS_1000\acta_0382.jpg,OK
383,8001871,ACTAS_1000\acta_0383.jpg,OK
384,8001881,ACTAS_1000\acta_0384.jpg,OK
385,8001891,ACTAS_1000\acta_0385.jpg,OK
386,8001901,ACTAS_1000\acta_0386.jpg,OK
387,8001911,ACTAS_1000\acta_0387.jpg,OK
388,8001921,ACTAS_1000\acta_0388.jpg,OK
389,8001931,ACTAS_1000\acta_0389.jpg,OK
390,8003391,ACTAS_1000\acta_0390.jpg,OK
392,8003411,ACTAS_1000\acta_0392.jpg,OK
393,8003421,ACTAS_1000\acta_0393.jpg,OK
394,8003431,ACTAS_1000\acta_0394.jpg,OK
391,8003401,ACTAS_1000\acta_0391.jpg,OK
395,8003441,ACTAS_1000\acta_0395.jpg,OK
397,8003461,ACTAS_1000\acta_0397.jpg,OK
396,8003451,ACTAS_1000\acta_0396.jpg,OK
399,8003481,ACTAS_1000\acta_0399.jpg,OK
402,8003511,ACTAS_1000\acta_0402.jpg,OK
400,8003491,ACTAS_1000\acta_0400.jpg,OK
398,8003471,ACTAS_1000\acta_0398.jpg,OK
404,8003531,ACTAS_1000\acta_0404.jpg,OK
403,8003521,ACTAS_1000\acta_0403.jpg,OK
405,8002801,ACTAS_1000\acta_0405.jpg,OK
401,8003501,ACTAS_1000\acta_0401.jpg,OK
406,8002811,ACTAS_1000\acta_0406.jpg,OK
407,8002821,ACTAS_1000\acta_0407.jpg,OK
408,8002831,ACTAS_1000\acta_0408.jpg,OK
410,8002851,ACTAS_1000\acta_0410.jpg,OK
409,8002841,ACTAS_1000\acta_0409.jpg,OK
411,8002861,ACTAS_1000\acta_0411.jpg,OK
412,8002871,ACTAS_1000\acta_0412.jpg,OK
413,8002881,ACTAS_1000\acta_0413.jpg,OK
414,8002891,ACTAS_1000\acta_0414.jpg,OK
415,8002901,ACTAS_1000\acta_0415.jpg,OK
416,8003811,ACTAS_1000\acta_0416.jpg,OK
417,8003821,ACTAS_1000\acta_0417.jpg,OK
418,8003831,ACTAS_1000\acta_0418.jpg,OK
419,8003841,ACTAS_1000\acta_0419.jpg,OK
420,8003851,ACTAS_1000\acta_0420.jpg,OK
421,8001421,ACTAS_1000\acta_0421.jpg,OK
422,8001431,ACTAS_1000\acta_0422.jpg,OK
423,8001441,ACTAS_1000\acta_0423.jpg,OK
427,8010872,ACTAS_1000\acta_0427.jpg,OK
426,8001471,ACTAS_1000\acta_0426.jpg,OK
424,8001451,ACTAS_1000\acta_0424.jpg,OK
425,8001461,ACTAS_1000\acta_0425.jpg,OK
428,8010932,ACTAS_1000\acta_0428.jpg,OK
429,8010942,ACTAS_1000\acta_0429.jpg,OK
430,8010951,ACTAS_1000\acta_0430.jpg,OK
431,8010961,ACTAS_1000\acta_0431.jpg,OK
434,8010861,ACTAS_1000\acta_0434.jpg,OK
432,8010841,ACTAS_1000\acta_0432.jpg,OK
433,8010851,ACTAS_1000\acta_0433.jpg,OK
435,8010371,ACTAS_1000\acta_0435.jpg,OK
436,8010381,ACTAS_1000\acta_0436.jpg,OK
437,8010881,ACTAS_1000\acta_0437.jpg,OK
438,8010391,ACTAS_1000\acta_0438.jpg,OK
440,8010411,ACTAS_1000\acta_0440.jpg,OK
439,8010401,ACTAS_1000\acta_0439.jpg,OK
442,8010431,ACTAS_1000\acta_0442.jpg,OK
441,8010421,ACTAS_1000\acta_0441.jpg,OK
444,8010451,ACTAS_1000\acta_0444.jpg,OK
443,8010441,ACTAS_1000\acta_0443.jpg,OK
445,8010461,ACTAS_1000\acta_0445.jpg,OK
446,8010611,ACTAS_1000\acta_0446.jpg,OK
447,8010621,ACTAS_1000\acta_0447.jpg,OK
448,8010631,ACTAS_1000\acta_0448.jpg,OK
449,8010641,ACTAS_1000\acta_0449.jpg,OK
450,8010651,ACTAS_1000\acta_0450.jpg,OK
451,8010661,ACTAS_1000\acta_0451.jpg,OK
452,8010671,ACTAS_1000\acta_0452.jpg,OK
453,8010711,ACTAS_1000\acta_0453.jpg,OK
454,8010721,ACTAS_1000\acta_0454.jpg,OK
455,8010731,ACTAS_1000\acta_0455.jpg,OK
457,8010751,ACTAS_1000\acta_0457.jpg,OK
456,8010741,ACTAS_1000\acta_0456.jpg,OK
460,8010681,ACTAS_1000\acta_0460.jpg,OK
459,8010771,ACTAS_1000\acta_0459.jpg,OK
458,8010761,ACTAS_1000\acta_0458.jpg,OK
461,8010691,ACTAS_1000\acta_0461.jpg,OK
462,8010701,ACTAS_1000\acta_0462.jpg,OK
463,8010781,ACTAS_1000\acta_0463.jpg,OK
465,8010801,ACTAS_1000\acta_0465.jpg,OK
466,8010811,ACTAS_1000\acta_0466.jpg,OK
464,8010791,ACTAS_1000\acta_0464.jpg,OK
468,8010831,ACTAS_1000\acta_0468.jpg,OK
469,8010471,ACTAS_1000\acta_0469.jpg,OK
467,8010821,ACTAS_1000\acta_0467.jpg,OK
470,8010481,ACTAS_1000\acta_0470.jpg,OK
471,8010491,ACTAS_1000\acta_0471.jpg,OK
474,8010521,ACTAS_1000\acta_0474.jpg,OK
472,8010501,ACTAS_1000\acta_0472.jpg,OK
473,8010511,ACTAS_1000\acta_0473.jpg,OK
477,8010551,ACTAS_1000\acta_0477.jpg,OK
476,8010541,ACTAS_1000\acta_0476.jpg,OK
475,8010531,ACTAS_1000\acta_0475.jpg,OK
478,8010561,ACTAS_1000\acta_0478.jpg,OK
479,8010571,ACTAS_1000\acta_0479.jpg,OK
480,8010581,ACTAS_1000\acta_0480.jpg,OK
481,8010591,ACTAS_1000\acta_0481.jpg,OK
482,8010601,ACTAS_1000\acta_0482.jpg,OK
483,8010891,ACTAS_1000\acta_0483.jpg,OK
484,8010901,ACTAS_1000\acta_0484.jpg,OK
485,8010911,ACTAS_1000\acta_0485.jpg,OK
486,8010921,ACTAS_1000\acta_0486.jpg,OK
487,8008812,ACTAS_1000\acta_0487.jpg,OK
488,8008822,ACTAS_1000\acta_0488.jpg,OK
489,8008842,ACTAS_1000\acta_0489.jpg,OK
490,8008872,ACTAS_1000\acta_0490.jpg,OK
491,8008862,ACTAS_1000\acta_0491.jpg,OK
492,8008881,ACTAS_1000\acta_0492.jpg,OK
493,8008561,ACTAS_1000\acta_0493.jpg,OK
494,8008792,ACTAS_1000\acta_0494.jpg,OK
496,8008691,ACTAS_1000\acta_0496.jpg,OK
495,8008891,ACTAS_1000\acta_0495.jpg,OK
