Numero_Secuencial,Mesa_ID,Ruta,Estado
293,103734,ACTAS_EXTRANJERAS_1000\acta_extranjera_0293.jpg,OK
295,103754,ACTAS_EXTRANJERAS_1000\acta_extranjera_0295.jpg,OK
297,103684,ACTAS_EXTRANJERAS_1000\acta_extranjera_0297.jpg,OK
292,103724,ACTAS_EXTRANJERAS_1000\acta_extranjera_0292.jpg,OK
294,103744,ACTAS_EXTRANJERAS_1000\acta_extranjera_0294.jpg,OK
296,103674,ACTAS_EXTRANJERAS_1000\acta_extranjera_0296.jpg,OK
299,103704,ACTAS_EXTRANJERAS_1000\acta_extranjera_0299.jpg,OK
298,103694,ACTAS_EXTRANJERAS_1000\acta_extranjera_0298.jpg,OK
301,103604,ACTAS_EXTRANJERAS_1000\acta_extranjera_0301.jpg,OK
302,103614,ACTAS_EXTRANJERAS_1000\acta_extranjera_0302.jpg,OK
300,103714,ACTAS_EXTRANJERAS_1000\acta_extranjera_0300.jpg,OK
304,103634,ACTAS_EXTRANJERAS_1000\acta_extranjera_0304.jpg,OK
303,103624,ACTAS_EXTRANJERAS_1000\acta_extranjera_0303.jpg,OK
305,103644,ACTAS_EXTRANJERAS_1000\acta_extranjera_0305.jpg,OK
306,103654,ACTAS_EXTRANJERAS_1000\acta_extranjera_0306.jpg,OK
307,103664,ACTAS_EXTRANJERAS_1000\acta_extranjera_0307.jpg,OK
309,102554,ACTAS_EXTRANJERAS_1000\acta_extranjera_0309.jpg,OK
308,102544,ACTAS_EXTRANJERAS_1000\acta_extranjera_0308.jpg,OK
310,102564,ACTAS_EXTRANJERAS_1000\acta_extranjera_0310.jpg,OK
312,102584,ACTAS_EXTRANJERAS_1000\acta_extranjera_0312.jpg,OK
311,102574,ACTAS_EXTRANJERAS_1000\acta_extranjera_0311.jpg,OK
313,102594,ACTAS_EXTRANJERAS_1000\acta_extranjera_0313.jpg,OK
316,102624,ACTAS_EXTRANJERAS_1000\acta_extranjera_0316.jpg,OK
315,102614,ACTAS_EXTRANJERAS_1000\acta_extranjera_0315.jpg,OK
314,102604,ACTAS_EXTRANJERAS_1000\acta_extranjera_0314.jpg,OK
317,102634,ACTAS_EXTRANJERAS_1000\acta_extranjera_0317.jpg,OK
320,102124,ACTAS_EXTRANJERAS_1000\acta_extranjera_0320.jpg,OK
318,102104,ACTAS_EXTRANJERAS_1000\acta_extranjera_0318.jpg,OK
319,102114,ACTAS_EXTRANJERAS_1000\acta_extranjera_0319.jpg,OK
322,102144,ACTAS_EXTRANJERAS_1000\acta_extranjera_0322.jpg,OK
321,102134,ACTAS_EXTRANJERAS_1000\acta_extranjera_0321.jpg,OK
324,102164,ACTAS_EXTRANJERAS_1000\acta_extranjera_0324.jpg,OK
323,102154,ACTAS_EXTRANJERAS_1000\acta_extranjera_0323.jpg,OK
325,102174,ACTAS_EXTRANJERAS_1000\acta_extranjera_0325.jpg,OK
326,102184,ACTAS_EXTRANJERAS_1000\acta_extranjera_0326.jpg,OK
328,102384,ACTAS_EXTRANJERAS_1000\acta_extranjera_0328.jpg,OK
327,102194,ACTAS_EXTRANJERAS_1000\acta_extranjera_0327.jpg,OK
329,102394,ACTAS_EXTRANJERAS_1000\acta_extranjera_0329.jpg,OK
330,102404,ACTAS_EXTRANJERAS_1000\acta_extranjera_0330.jpg,OK
